#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
          85   -0.446138   -0.376419  0.00394428
          86   -0.469965   -0.377506  0.00404562
          87   -0.447788   -0.378314  0.00407898
          88   -0.396576   -0.378522   0.0040379
          89   -0.390705   -0.378659  0.00399485
          90   -0.321629   -0.378025   0.0040004
          91   -0.355691    -0.37778  0.00396396
          92   -0.427454   -0.378319  0.00395748
          93   -0.412273   -0.378685  0.00393173
          94   -0.401697   -0.378929  0.00389752
          95   -0.403562   -0.379189  0.00386511
          96    -0.36543   -0.379045   0.0038275
          97   -0.353677   -0.378784  0.00379697
          98   -0.390221   -0.378901  0.00376002
          99   -0.367392   -0.378784  0.00372383
         100   -0.424409   -0.379241  0.00371444
         101   -0.399682   -0.379443  0.00368317
         102   -0.413759   -0.379779   0.0036624
         103   -0.403071   -0.380005  0.00363381
         104   -0.437653    -0.38056   0.0036409
         105   -0.371736   -0.380476   0.0036072
         106   -0.400211   -0.380662  0.00357797
         107   -0.422828   -0.381056  0.00356617
         108   -0.430084    -0.38151  0.00356192
         109   -0.432987   -0.381982  0.00356042
         110   -0.371068   -0.381883  0.00352943
         111   -0.361502   -0.381699  0.00350241
         112   -0.375949   -0.381648  0.00347151
         113   -0.380283   -0.381636  0.00344081
         114   -0.440049   -0.382148  0.00344857
         115   -0.480596   -0.383004  0.00352323
         116   -0.439457   -0.383491  0.00352631
         117   -0.386907    -0.38352  0.00349629
         118   -0.391173   -0.383585  0.00346727
         119   -0.410117   -0.383808  0.00344529
         120   -0.429998   -0.384193  0.00343801
         121   -0.433916   -0.384604  0.00343407
         122    -0.41514   -0.384854  0.00341503
         123   -0.401136   -0.384987  0.00338983
         124   -0.416727   -0.385243  0.00337215
         125   -0.418844   -0.385511  0.00335587
         126   -0.388977   -0.385539  0.00332935
         127    -0.39722   -0.385631   0.0033044
         128   -0.399355   -0.385738  0.00328032
         129   -0.426289   -0.386052  0.00326992
         130   -0.437747    -0.38645  0.00326886
         131   -0.423648   -0.386734  0.00325621
         132   -0.403735   -0.386863  0.00323409
         133   -0.414033   -0.387067  0.00321622
         134   -0.414185    -0.38727  0.00319858
         135   -0.445154   -0.387698   0.0032035
         136   -0.458325   -0.388218  0.00322176
         137   -0.459549   -0.388738  0.00324004
         138   -0.401252   -0.388829  0.00321783
         139   -0.375203   -0.388731  0.00319618
         140    -0.37865   -0.388659  0.00317416
         141   -0.349938   -0.388384   0.0031635
         142    -0.33509   -0.388009  0.00316341
         143   -0.313461   -0.387488  0.00318395
         144    -0.37584   -0.387407  0.00316287
         145   -0.388146   -0.387412  0.00314106
         146   -0.370282   -0.387295  0.00312174
         147   -0.377867    -0.38723  0.00310116
         148   -0.378183   -0.387169  0.00308081
         149   -0.362602   -0.387004  0.00306454
         150    -0.34219   -0.386706  0.00305864
         151   -0.402918   -0.386813  0.00304027
         152   -0.359991   -0.386637  0.00302538
         153   -0.346732   -0.386376  0.00301683
         154     -0.3133   -0.385901  0.00303433
         155   -0.345623   -0.385641  0.00302586
         156   -0.349359   -0.385409  0.00301539
         157   -0.306824   -0.384908  0.00303744
         158    -0.34001   -0.384624  0.00303148
         159   -0.390082   -0.384658  0.00301261
         160   -0.378072   -0.384617  0.00299406
         161   -0.369679   -0.384524   0.0029769
         162   -0.357137   -0.384355  0.00296332
         163   -0.356507   -0.384185  0.00295006
         164   -0.394675   -0.384249  0.00293277
         165   -0.392131   -0.384296  0.00291538
         166   -0.377319   -0.384254  0.00289812
         167   -0.385583   -0.384262  0.00288078
         168   -0.368244   -0.384167  0.00286521
         169   -0.367714    -0.38407  0.00284991
         170   -0.342376   -0.383824  0.00284368
         171   -0.367892   -0.383731  0.00282857
         172   -0.393749   -0.383789  0.00281273
         173   -0.395899   -0.383859  0.00279734
         174   -0.390875     -0.3839  0.00278156
         175   -0.377571   -0.383863   0.0027659
         176   -0.371411   -0.383793  0.00275109
         177   -0.336472   -0.383525   0.0027485
         178   -0.349405   -0.383334  0.00273974
         179   -0.349283   -0.383143  0.00273103
         180   -0.350401   -0.382962  0.00272191
         181   -0.374045   -0.382912  0.00270731
         182   -0.379624   -0.382894   0.0026925
         183   -0.359124   -0.382764  0.00268092
         184   -0.417565   -0.382953  0.00267301
         185   -0.435227   -0.383236  0.00267345
         186   -0.394458   -0.383296  0.00265976
         187   -0.413357   -0.383457  0.00265039
         188   -0.401999   -0.383556  0.00263813
         189   -0.378857   -0.383531  0.00262429
         190   -0.349083    -0.38335  0.00261673
         191   -0.343829   -0.383143   0.0026112
         192   -0.356272   -0.383003  0.00260135
         193   -0.388637   -0.383032  0.00258803
         194   -0.356678   -0.382896  0.00257825
         195   -0.328874   -0.382619  0.00257987
         196   -0.354927   -0.382478  0.00257058
         197   -0.371721   -0.382423  0.00255811
         198   -0.331545   -0.382166  0.00255806
         199   -0.353389   -0.382022  0.00254929
         200   -0.355821   -0.381891  0.00253991
         201   -0.389608   -0.381929  0.00252756
         202   -0.360662   -0.381824  0.00251724
         203   -0.369587   -0.381763  0.00250556
         204   -0.367805   -0.381695  0.00249421
         205   -0.350468   -0.381543  0.00248669
         206   -0.357765   -0.381427   0.0024773
         207   -0.334565   -0.381201  0.00247565
         208   -0.353797   -0.381069  0.00246726
         209   -0.391252   -0.381118  0.00245593
         210   -0.367585   -0.381053  0.00244508
         211    -0.32516   -0.380788   0.0024478
         212   -0.356397   -0.380673  0.00243896
         213   -0.368051   -0.380614  0.00242823
         214   -0.390185   -0.380659  0.00241729
         215   -0.406041   -0.380777  0.00240893
         216   -0.366839   -0.380712  0.00239864
         217    -0.38392   -0.380727  0.00238763
         218   -0.377827   -0.380714  0.00237672
         219   -0.402543   -0.380814  0.00236795
         220   -0.396368   -0.380884  0.00235825
         221   -0.437054   -0.381138  0.00236123
         222    -0.42699   -0.381345  0.00235961
         223   -0.402664   -0.381441  0.00235097
         224   -0.366676   -0.381375  0.00234139
         225   -0.354105   -0.381253  0.00233412
         226   -0.330029   -0.381027  0.00233477
         227   -0.361421    -0.38094  0.00232609
         228   -0.358913   -0.380844  0.00231789
         229   -0.399042   -0.380923  0.00230913
         230   -0.400266   -0.381007  0.00230062
         231    -0.40533   -0.381113  0.00229307
         232    -0.42004    -0.38128  0.00228932
         233   -0.417429   -0.381436  0.00228474
         234   -0.417566    -0.38159  0.00228019
         235   -0.389023   -0.381622   0.0022707
         236   -0.396728   -0.381686  0.00226198
         237   -0.398858   -0.381758   0.0022536
         238   -0.438095   -0.381995  0.00225653
         239   -0.391071   -0.382033  0.00224741
         240    -0.39422   -0.382084  0.00223862
         241   -0.418427   -0.382234   0.0022344
         242    -0.43877   -0.382468  0.00223735
         243   -0.441993   -0.382713  0.00224151
         244   -0.403404   -0.382798  0.00223393
         245   -0.381424   -0.382792  0.00222482
         246   -0.386162   -0.382806  0.00221581
         247   -0.403553    -0.38289  0.00220844
         248   -0.414592   -0.383018  0.00220323
         249   -0.419456   -0.383164  0.00219923
         250   -0.369713    -0.38311  0.00219109
