#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
          53     2.00113     1.97072  0.00503862
          54     2.00431     1.97134  0.00498358
          55     2.03289     1.97246  0.00501707
          56     2.05552     1.97394  0.00514205
          57     2.00997     1.97457  0.00509055
          58     1.98064     1.97468  0.00500385
          59      1.9985     1.97508  0.00493531
          60     2.00365     1.97556  0.00487597
          61      1.9971     1.97591  0.00480881
          62     2.01675     1.97657  0.00477616
          63     2.00773     1.97706  0.00472589
          64     1.99654     1.97737  0.00466184
          65     1.96905     1.97724  0.00459188
          66     1.96322     1.97703  0.00452721
          67     1.93998     1.97647  0.00449328
          68     1.96669     1.97633   0.0044295
          69     1.97472     1.97631  0.00436537
          70     1.93797     1.97576  0.00433722
          71     1.93602      1.9752  0.00431209
          72     1.93073     1.97458  0.00429621
          73     1.93716     1.97407  0.00426783
          74     1.92465      1.9734  0.00426208
          75     1.95769     1.97319   0.0042104
          76     1.97658     1.97324  0.00415523
          77     1.94599     1.97288  0.00411631
          78     1.93023     1.97234   0.0040997
          79     1.92829     1.97178  0.00408553
          80     1.95984     1.97163  0.00403719
          81     1.98414     1.97178   0.0039903
          82     1.95245     1.97155  0.00394859
          83     1.97641     1.97161  0.00390145
          84     2.02331     1.97222  0.00390326
          85     2.04261     1.97305   0.0039442
          86     2.06636     1.97414  0.00404482
          87     2.04465     1.97495  0.00407873
          88     1.99324     1.97515  0.00403767
          89      1.9874     1.97529  0.00399465
          90     1.91832     1.97466   0.0040001
          91     1.95201     1.97441  0.00396388
          92     2.02398     1.97495  0.00395724
          93     2.00911     1.97532   0.0039317
          94     1.99832     1.97556  0.00389748
          95     2.00036     1.97582  0.00386519
          96      1.9622     1.97568  0.00382754
          97      1.9503     1.97542  0.00379701
          98     1.98693     1.97554  0.00376008
          99     1.96395     1.97542  0.00372392
         100     2.02095     1.97587  0.00371442
         101     1.99602     1.97607  0.00368299
         102     2.01042     1.97641  0.00366224
         103     1.99943     1.97663   0.0036335
         104     2.03447     1.97719  0.00364087
         105     1.96844     1.97711  0.00360715
         106     1.99671     1.97729  0.00357786
         107     2.01949     1.97769  0.00356609
         108     2.02667     1.97814  0.00356179
         109     2.03008     1.97862  0.00356085
         110     1.96777     1.97852  0.00352985
         111      1.9581     1.97833  0.00350283
         112     1.97243     1.97828  0.00347196
         113     1.97712     1.97827  0.00344125
         114     2.03648     1.97878  0.00344874
         115     2.07702     1.97963  0.00352295
         116      2.0367     1.98013  0.00352676
         117     1.98371     1.98016  0.00349675
         118      1.9877     1.98022   0.0034677
         119     2.00654     1.98044   0.0034456
         120     2.02649     1.98083  0.00343819
         121     2.03077     1.98124  0.00343446
         122     2.01177     1.98149  0.00341541
         123     1.99776     1.98162  0.00339021
         124     2.01321     1.98188  0.00337243
         125     2.01577     1.98215  0.00335633
         126     1.98527     1.98217  0.00332978
         127     1.99377     1.98226  0.00330482
         128     1.99573     1.98237  0.00328067
         129     2.02271     1.98268  0.00327011
         130      2.0343     1.98308  0.00326897
         131     2.02025     1.98336  0.00325631
         132     2.00028     1.98349  0.00323416
         133     2.01043     1.98369  0.00321618
         134     2.01056     1.98389  0.00319843
         135     2.04153     1.98432  0.00320311
         136     2.05422     1.98483  0.00322052
         137      2.0564     1.98536  0.00323911
         138     1.99776     1.98545  0.00321688
         139     1.97164     1.98535  0.00319527
         140     1.97508     1.98527  0.00317329
         141     1.94658       1.985  0.00316263
         142     1.93154     1.98462  0.00316268
         143     1.91004      1.9841  0.00318328
         144     1.97206     1.98402  0.00316227
         145     1.98466     1.98402  0.00314046
         146     1.96676      1.9839  0.00312118
         147      1.9741     1.98384  0.00310066
         148     1.97481     1.98378  0.00308031
         149     1.95947     1.98361  0.00306395
         150     1.93822     1.98331  0.00305844
         151      1.9995     1.98342  0.00304006
         152     1.95678     1.98324  0.00302511
         153     1.94354     1.98298  0.00301644
         154     1.90975     1.98251  0.00303411
         155     1.94212     1.98225   0.0030257
         156     1.94609     1.98202  0.00301517
         157     1.90352     1.98152  0.00303713
         158     1.93637     1.98123  0.00303132
         159     1.98672     1.98126  0.00301245
         160     1.97441     1.98122  0.00299393
         161     1.96639     1.98113  0.00297675
         162     1.95359     1.98096  0.00296322
         163     1.95284     1.98079  0.00295006
         164     1.99106     1.98085  0.00293274
         165     1.98889      1.9809  0.00291537
         166     1.97374     1.98086  0.00289813
         167     1.98203     1.98086  0.00288078
         168     1.96516     1.98077  0.00286515
         169     1.96471     1.98067  0.00284977
         170      1.9388     1.98043  0.00284363
         171     1.96438     1.98033  0.00282855
         172     1.99038     1.98039  0.00281271
         173      1.9926     1.98046  0.00279733
         174     1.98759      1.9805  0.00278156
         175     1.97392     1.98047  0.00276592
         176     1.96833      1.9804  0.00275106
         177       1.933     1.98013  0.00274852
         178     1.94609     1.97994  0.00273972
         179     1.94578     1.97975  0.00273105
         180      1.9469     1.97956  0.00272197
         181     1.97041     1.97951   0.0027074
         182     1.97628      1.9795  0.00269259
         183      1.9558     1.97937  0.00268098
         184     2.01385     1.97955  0.00267296
         185     2.03227     1.97984  0.00267366
         186     1.99084      1.9799  0.00265994
         187     2.00998     1.98006  0.00265057
         188      1.9986     1.98016  0.00263831
         189     1.97542     1.98013  0.00262447
         190     1.94585     1.97995  0.00261685
         191     1.94041     1.97975  0.00261133
         192     1.95254      1.9796  0.00260157
         193      1.9853     1.97963  0.00258825
         194     1.95366      1.9795  0.00257837
         195     1.92543     1.97922  0.00258002
         196     1.95126     1.97908  0.00257079
         197     1.96882     1.97903  0.00255827
         198     1.92816     1.97877  0.00255822
         199     1.94996     1.97863  0.00254946
         200     1.95248     1.97849  0.00254006
         201     1.98617     1.97853  0.00252771
         202     1.95759     1.97843  0.00251732
         203     1.96616     1.97837  0.00250565
         204     1.96472      1.9783  0.00249426
         205     1.94716     1.97815  0.00248671
         206     1.95453     1.97804  0.00247728
         207     1.93115     1.97781  0.00247565
         208     1.95036     1.97768  0.00246726
         209     1.98794     1.97773  0.00245594
         210     1.96457     1.97766  0.00244505
         211     1.92185      1.9774  0.00244773
         212     1.95265     1.97728  0.00243896
         213     1.96476     1.97722  0.00242822
         214     1.98657     1.97727  0.00241727
         215     2.00266     1.97739  0.00240891
         216     1.96355     1.97732  0.00239861
         217      1.9806     1.97734   0.0023876
         218     1.97429     1.97732  0.00237669
         219     1.99907     1.97742  0.00236791
         220     1.99279     1.97749  0.00235818
         221     2.03342     1.97774  0.00236104
         222     2.02381     1.97795  0.00235951
         223      1.9994     1.97805  0.00235089
         224     1.96317     1.97798  0.00234133
         225     1.95087     1.97786  0.00233402
         226     1.92644     1.97763  0.00233476
         227      1.9581     1.97755  0.00232606
         228     1.95545     1.97745  0.00231788
         229     1.99553     1.97753   0.0023091
         230     1.99691     1.97761   0.0023006
         231     2.00208     1.97772  0.00229308
         232     2.01634     1.97789  0.00228923
         233     2.01398     1.97804  0.00228464
         234      2.0141      1.9782  0.00228006
         235     1.98567     1.97823  0.00227058
         236     1.99315     1.97829  0.00226184
         237     1.99543     1.97836  0.00225346
         238     2.03456      1.9786  0.00225633
         239     1.98782     1.97864  0.00224721
         240     1.99057     1.97869   0.0022384
         241     2.01478     1.97884  0.00223412
         242     2.03521     1.97907    0.002237
         243     2.03822     1.97931    0.002241
         244     1.99979      1.9794  0.00223338
         245      1.9778     1.97939  0.00222428
         246      1.9824      1.9794  0.00221527
         247     2.00014     1.97949  0.00220789
         248     2.01075     1.97961  0.00220258
         249     2.01648     1.97976  0.00219871
         250      1.9664     1.97971  0.00219057
