#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         207     1.59695     1.59649 4.11907e-05
         208     1.59647     1.59649 4.09928e-05
         209     1.59669     1.59649 4.08085e-05
         210     1.59692     1.59649 4.06651e-05
         211     1.59671     1.59649  4.0486e-05
         212     1.59672     1.59649 4.03096e-05
         213     1.59676     1.59649 4.01401e-05
         214     1.59653     1.59649 3.99529e-05
         215     1.59651     1.59649 3.97671e-05
         216     1.59694      1.5965 3.96354e-05
         217     1.59647      1.5965 3.94529e-05
         218     1.59649      1.5965  3.9272e-05
         219     1.59677      1.5965 3.91125e-05
         220     1.59667      1.5965 3.89428e-05
         221     1.59658      1.5965 3.87681e-05
         222     1.59661      1.5965 3.85967e-05
         223     1.59632      1.5965 3.84316e-05
         224      1.5967      1.5965 3.82701e-05
         225     1.59676      1.5965 3.81181e-05
         226     1.59614      1.5965 3.79838e-05
         227     1.59672      1.5965 3.78291e-05
         228     1.59667      1.5965 3.76709e-05
         229     1.59679      1.5965  3.7528e-05
         230     1.59661      1.5965 3.73678e-05
         231      1.5964      1.5965 3.72086e-05
         232      1.5964      1.5965 3.70509e-05
         233     1.59686      1.5965 3.69243e-05
         234     1.59677      1.5965 3.67846e-05
         235     1.59656      1.5965 3.66289e-05
         236     1.59666     1.59651 3.64795e-05
         237     1.59665     1.59651 3.63306e-05
         238     1.59657     1.59651 3.61788e-05
         239     1.59661     1.59651 3.60298e-05
         240     1.59631     1.59651 3.58889e-05
         241     1.59677     1.59651 3.57573e-05
         242     1.59642     1.59651 3.56114e-05
         243     1.59664     1.59651 3.54691e-05
         244      1.5966     1.59651 3.53259e-05
         245     1.59653     1.59651 3.51819e-05
         246     1.59698     1.59651 3.50913e-05
         247     1.59659     1.59651 3.49509e-05
         248     1.59664     1.59651 3.48139e-05
         249      1.5965     1.59651 3.46741e-05
         250      1.5967     1.59651 3.45434e-05
