  Step          Temp            Mu         Sigma        Energy
   269     0.0841332      0.647745       0.77569     -0.350404
   270     0.0841332      0.647745       0.77569     -0.350404
   271     0.0841332      0.594585      0.751167     -0.328272
   272     0.0841332      0.594585      0.751167     -0.328272
   273     0.0841332      0.594585      0.751167     -0.328272
   274     0.0841332      0.515254      0.811628     -0.252806
   275     0.0841332       0.46238      0.733316     -0.204485
   276     0.0841332      0.518378      0.801117     -0.283859
   277     0.0841332      0.597674      0.765655     -0.322796
   278     0.0841332        0.6715      0.714899     -0.400822
   279     0.0841332      0.689629      0.706439     -0.383994
   280     0.0774025      0.689629      0.706439     -0.383994
   281     0.0774025      0.604025      0.766195     -0.320744
   282     0.0774025      0.611186       0.83797     -0.283299
   283     0.0774025      0.541373      0.860659     -0.287342
   284     0.0774025      0.678007       0.87262     -0.343103
   285     0.0774025      0.678007       0.87262     -0.343103
   286     0.0774025      0.678007       0.87262     -0.343103
   287     0.0774025      0.678007       0.87262     -0.343103
   288     0.0774025      0.666589      0.862357     -0.280777
   289     0.0774025      0.559372      0.869718     -0.308694
   290     0.0774025      0.645255      0.873721     -0.297592
   291     0.0774025       0.52033      0.818618     -0.300434
   292     0.0774025      0.551918      0.891139     -0.277645
   293     0.0774025      0.591486      0.818578      -0.27223
   294     0.0774025      0.580997      0.866801     -0.281613
   295     0.0774025      0.630248      0.900106     -0.260196
   296     0.0774025      0.630248      0.900106     -0.260196
   297     0.0774025      0.691912      0.879893     -0.222407
   298     0.0774025      0.747213      0.881124     -0.212994
   299     0.0774025      0.747213      0.881124     -0.212994
   300     0.0712103      0.654203      0.885863     -0.239637
   301     0.0712103      0.527719      0.839033     -0.297063
   302     0.0712103      0.418578      0.801929     -0.253987
   303     0.0712103      0.289615      0.781196     -0.140785
   304     0.0712103      0.373963      0.816213     -0.223095
   305     0.0712103       0.39742      0.803957     -0.215636
   306     0.0712103      0.265029       0.80462     -0.153376
   307     0.0712103      0.339396      0.823925     -0.229569
   308     0.0712103      0.339396      0.823925     -0.229569
   309     0.0712103      0.371914      0.822416     -0.220475
   310     0.0712103      0.258309      0.775075     -0.118918
   311     0.0712103      0.163934      0.805683     -0.148887
   312     0.0712103     0.0830115      0.834836     -0.159846
   313     0.0712103     0.0436247      0.808377     -0.125267
   314     0.0712103      0.147876      0.750669    -0.0696528
   315     0.0712103       0.23303      0.769987     -0.106036
   316     0.0712103       0.23303      0.769987     -0.106036
   317     0.0712103      0.124548      0.793625     -0.113392
   318     0.0712103     0.0242094      0.854183     -0.178932
   319     0.0712103     0.0242094      0.854183     -0.178932
   320     0.0655135      0.149752      0.879681     -0.194153
   321     0.0655135      0.149752      0.879681     -0.194153
   322     0.0655135      0.266042      0.871981     -0.229368
   323     0.0655135      0.301475      0.837147     -0.206955
   324     0.0655135      0.301475      0.837147     -0.206955
   325     0.0655135       0.24022      0.847157     -0.200467
   326     0.0655135      0.371107      0.769856     -0.225344
   327     0.0655135      0.512049      0.790391     -0.260853
   328     0.0655135      0.561852      0.868198     -0.297396
   329     0.0655135      0.609668      0.855512     -0.291348
   330     0.0655135      0.639271      0.835729     -0.322558
   331     0.0655135      0.530912      0.885429     -0.277468
   332     0.0655135      0.530912      0.885429     -0.277468
   333     0.0655135      0.530912      0.885429     -0.277468
   334     0.0655135      0.530912      0.885429     -0.277468
   335     0.0655135      0.530912      0.885429     -0.277468
   336     0.0655135      0.530912      0.885429     -0.277468
   337     0.0655135      0.487289      0.843572     -0.255018
   338     0.0655135      0.502233      0.813403     -0.269019
   339     0.0655135      0.591865      0.874983     -0.287695
   340     0.0602724      0.558299      0.908069     -0.288617
   341     0.0602724      0.628438      0.831098     -0.315367
   342     0.0602724      0.562362      0.888413     -0.291392
   343     0.0602724      0.562362      0.888413     -0.291392
   344     0.0602724      0.439796      0.852427     -0.249784
   345     0.0602724      0.439796      0.852427     -0.249784
   346     0.0602724      0.562618      0.896274     -0.196317
   347     0.0602724      0.425449      0.974168     -0.249591
   348     0.0602724      0.316775      0.954537     -0.277812
   349     0.0602724      0.316775      0.954537     -0.277812
   350     0.0602724      0.167244      0.926839     -0.222851
   351     0.0602724      0.300325      0.969172     -0.258475
   352     0.0602724         0.445      0.965684     -0.221897
   353     0.0602724      0.351013       1.00444     -0.198877
   354     0.0602724       0.43427      0.946727     -0.247268
   355     0.0602724       0.43427      0.946727     -0.247268
   356     0.0602724      0.548288      0.872703     -0.321409
   357     0.0602724      0.625388      0.874072     -0.326616
   358     0.0602724      0.717972      0.877436     -0.265596
   359     0.0602724      0.717972      0.877436     -0.265596
   360     0.0554506      0.688571      0.853299     -0.277843
   361     0.0554506      0.636731      0.796179     -0.294033
   362     0.0554506      0.607075      0.790853     -0.335227
   363     0.0554506      0.723829       0.73723     -0.340695
   364     0.0554506      0.812665      0.663074     -0.434851
   365     0.0554506      0.812665      0.663074     -0.434851
   366     0.0554506      0.694026      0.690436     -0.397541
   367     0.0554506      0.694026      0.690436     -0.397541
   368     0.0554506      0.806483      0.658423     -0.430952
   369     0.0554506      0.848316      0.603801     -0.426967
   370     0.0554506      0.780008      0.589698     -0.441191
   371     0.0554506      0.780008      0.589698     -0.441191
   372     0.0554506      0.780008      0.589698     -0.441191
   373     0.0554506      0.780008      0.589698     -0.441191
   374     0.0554506      0.780008      0.589698     -0.441191
   375     0.0554506      0.653225      0.536347     -0.335132
   376     0.0554506      0.653225      0.536347     -0.335132
   377     0.0554506      0.786741      0.538565     -0.391205
   378     0.0554506      0.786741      0.538565     -0.391205
   379     0.0554506       0.65155      0.545187     -0.351769
   380     0.0510146       0.65155      0.545187     -0.351769
   381     0.0510146       0.65155      0.545187     -0.351769
   382     0.0510146       0.65155      0.545187     -0.351769
   383     0.0510146       0.77552      0.562948      -0.41508
   384     0.0510146      0.901582      0.547619     -0.350348
   385     0.0510146      0.901582      0.547619     -0.350348
   386     0.0510146      0.967168      0.600729     -0.354851
   387     0.0510146      0.967168      0.600729     -0.354851
